project_id,ring_number,foam_chamber_pressure__W19020205,total_thrust_kn__W16010002,torque_mnm__W15000105
S908,2,3.185,76027.778,6.982
S908,3,3.075,94152.306,11.828
S908,4,3.276,107800.295,17.377
S908,5,3.296,108534.193,16.604
S908,6,3.553,114526.692,18.105
S908,7,3.757,89010.21899999998,10.289
S908,8,3.738,81572.41199999998,10.545
S908,9,3.749,81679.142,9.552
S908,10,3.689,82743.045,9.749
S908,11,3.693,76368.892,9.171
S908,12,3.734,75003.94,9.293
S908,13,3.778,74151.98299999998,10.748
S908,14,3.692,74175.064,8.823
S908,15,3.731,72975.462,9.406
S908,16,3.768,78923.602,9.383
S908,17,3.756,83594.758,8.580999999999998
S908,18,3.781,77088.69899999998,9.068
S908,19,3.775,84224.849,8.487999999999998
S908,20,3.779,86568.024,9.019
S908,21,3.767,81554.43399999998,9.194
S908,22,3.776,79096.259,8.718999999999998
S908,23,3.766,83481.39299999998,9.597
S908,24,3.883,83074.21,9.879
S908,25,3.85,89193.81699999998,9.456
S908,26,3.851,91044.164,10.204
S908,27,3.856,82121.339,11.256
S908,28,3.841,81775.045,10.204
S908,29,3.854,82313.448,10.528
S908,30,3.828,84555.71099999998,9.175
S908,31,3.829,82411.535,7.844
S908,32,3.829,96891.715,4.439
S908,33,3.902,89531.316,5.114
S908,34,3.896,86540.213,5.771
S908,35,3.91,93758.221,6.617
S908,36,3.937,88244.273,7.867
S908,37,3.942,91825.466,8.141999999999998
S908,38,3.91,97138.371,7.62
S908,39,3.914,99219.675,6.435
S908,40,3.917,99982.591,7.728
S908,41,3.978,95671.466,8.364
S909,4,3.466,96757.44,12.761
S909,5,3.476,96782.207,12.983
S909,6,3.484,103506.794,12.578
S909,7,3.634,108111.947,15.982
S909,8,3.722,99239.804,10.929
S909,9,3.892,77555.242,9.063
S909,10,3.851,83263.687,7.984
S909,11,3.8,77412.155,8.035
S909,12,3.78,73774.14699999998,8.846
S909,13,3.773,78306.40799999998,10.979
S909,14,3.807,83915.53299999998,13.368
S909,15,3.808,88258.655,13.432
S909,16,3.803,83726.94899999998,13.529
S909,17,3.84,101775.0,14.412
S909,18,3.846,100791.323,13.477
S909,19,3.834,98780.36,10.252
S909,20,3.866,108806.287,7.963
S909,21,3.867,99082.785,8.82
S909,22,3.874,101276.535,9.082
S909,23,3.855,108955.345,6.813
S909,24,3.815,94857.722,9.082
S909,25,3.872,99137.008,8.817999999999998
S909,26,3.905,105428.991,9.393
S909,27,3.968,99435.932,9.225
S909,28,3.927,94203.343,8.54
S909,29,3.904,86962.11599999998,8.755
S909,30,3.911,92735.631,9.413
S909,31,3.953,91786.196,10.115
S909,32,4.012,105426.384,11.103
S909,33,4.034,89841.84,11.631
S909,34,4.05,92775.85,12.367
S909,35,4.062,90000.47,12.681
S909,36,4.063,86828.706,11.201
S909,37,4.052,89164.05599999998,11.496
S909,38,4.039,90508.698,11.995
S909,39,4.045,95537.691,11.498
S909,40,4.127,90688.271,13.302
S909,41,4.142,95467.335,14.493
S909,42,4.141,103204.999,12.033
S909,43,4.174,96986.051,13.089
